chr	pos	cM
chr14	19032163	0
chr14	19198132	4.68E-01
chr14	19680339	1.460806
chr14	19726717	1.588912
chr14	19728922	1.591248
chr14	19730012	1.592117
chr14	19731284	1.593133
chr14	19734966	1.596082
chr14	19741451	1.601165
chr14	19744476	1.603114
chr14	19744483	1.603127
chr14	19744550	1.603325
chr14	19744847	1.604727
chr14	19744878	1.604873
chr14	19744896	1.604957
chr14	19745022	1.605536
chr14	19745778	1.607044
chr14	19746748	1.607619
chr14	19747219	1.607902
chr14	19747289	1.607946
chr14	19747830	1.608329
chr14	19748139	1.609464
chr14	19750966	1.619981
chr14	19751259	1.621633
chr14	19752802	1.630346
chr14	19753340	1.633383
chr14	19753341	1.633388
chr14	19754695	1.635299
chr14	19755304	1.636159
chr14	19755844	1.636922
chr14	19756808	1.638298
chr14	19757173	1.638951
chr14	19757733	1.640011
chr14	19758289	1.641105
chr14	19758336	1.641197
chr14	19758503	1.641525
chr14	19758533	1.641583
chr14	19758732	1.641969
chr14	19759145	1.642769
chr14	19759661	1.643769
chr14	19759765	1.64397
chr14	19760143	1.644701
chr14	19760705	1.645789
chr14	19761047	1.646458
chr14	19761770	1.648187
chr14	19761801	1.648263
chr14	19762607	1.650289
chr14	19762662	1.65045
chr14	19763052	1.651688
chr14	19763455	1.653028
chr14	19763755	1.654026
chr14	19763879	1.654453
chr14	19763987	1.654837
chr14	19764822	1.657803
chr14	19765368	1.659743
chr14	19765681	1.660874
chr14	19771087	1.681302
chr14	19771320	1.682069
chr14	19777970	1.69984
chr14	19780669	1.707052
chr14	19781720	1.709859
chr14	19781809	1.710097
chr14	19786411	1.722394
chr14	19787631	1.726741
chr14	19788455	1.729676
chr14	19790732	1.738073
chr14	19790844	1.738489
chr14	19791064	1.739305
chr14	19791777	1.741954
chr14	19792082	1.743073
chr14	19792284	1.743814
chr14	19792946	1.746242
chr14	19793202	1.747181
chr14	19793860	1.749596
chr14	19795226	1.754611
chr14	19795266	1.754758
chr14	19795666	1.756245
chr14	19795860	1.756967
chr14	19796753	1.760298
chr14	19797042	1.761376
chr14	19797210	1.762017
chr14	19797477	1.763046
chr14	19797696	1.763891
