chr	pos	cM
chr18	11523	0
chr18	11543	9.80E-05
chr18	11816	0.001815
chr18	12092	0.003569
chr18	12183	0.00417
chr18	12716	0.008054
chr18	12842	0.00908
chr18	13034	0.010646
chr18	51984	0.135747
chr18	57731	0.15418
chr18	59318	0.157357
chr18	61355	0.157946
chr18	69805	0.160361
chr18	69836	0.16037
chr18	73090	0.161298
chr18	78172	0.178754
chr18	85149	0.229087
chr18	87505	0.229637
chr18	87588	0.229656
chr18	87933	0.229736
chr18	91723	0.23062
chr18	93276	0.230982
chr18	99186	0.232359
chr18	99779	0.232497
chr18	100779	0.23273
chr18	100825	0.23274
chr18	100949	0.232769
chr18	100977	0.232776
chr18	112535	0.235461
chr18	115574	0.236178
chr18	122474	0.239248
chr18	127159	0.242494
chr18	127170	0.242502
chr18	132301	0.246385
chr18	132649	0.246649
chr18	132671	0.246665
chr18	135649	0.2488
chr18	136305	0.249261
chr18	136630	0.249482
chr18	139767	0.251575
chr18	143973	0.254381
chr18	150399	0.258697
chr18	154192	0.262726
chr18	154457	0.262954
chr18	159382	0.26668
chr18	159885	0.266771
chr18	160887	0.266822
chr18	161240	0.266838
chr18	161922	0.266868
chr18	162039	0.266873
chr18	164285	0.266968
chr18	165098	0.267003
chr18	165453	0.267018
chr18	165503	0.267021
chr18	166277	0.267059
chr18	177063	0.267589
chr18	177503	0.26761
chr18	178007	0.267635
chr18	179403	0.267705
chr18	180486	0.267761
chr18	182139	0.26794
chr18	182253	0.267952
chr18	182766	0.268011
chr18	183621	0.268086
chr18	184476	0.268129
chr18	184704	0.268143
chr18	185110	0.268258
chr18	186998	0.268834
chr18	188570	0.268939
chr18	191751	0.269065
chr18	193108	0.26912
chr18	193162	0.269122
chr18	194055	0.269148
chr18	195405	0.269188
chr18	195644	0.269195
chr18	196829	0.269231
chr18	199462	0.26931
chr18	204232	0.26946
chr18	207370	0.269559
chr18	208998	0.269761
chr18	209430	0.269816
chr18	209527	0.269828
chr18	210306	0.269919
chr18	210453	0.269936
chr18	212756	0.270164
chr18	213151	0.270203
chr18	213592	0.270246
chr18	213606	0.270248
chr18	213827	0.270269
chr18	214951	0.270379
chr18	214959	0.27038
chr18	214991	0.270383
chr18	215299	0.270413
chr18	215345	0.270417
chr18	216958	0.270572
chr18	217379	0.270605
chr18	217485	0.270612
chr18	217866	0.270634
chr18	218242	0.270654
chr18	218285	0.270657
chr18	218366	0.270662
chr18	218695	0.270695
chr18	218753	0.270711
chr18	220071	0.271197
chr18	220341	0.271248
chr18	220658	0.271277
chr18	221102	0.271292
chr18	221131	0.271293
chr18	222167	0.271323
chr18	223185	0.271353
chr18	223189	0.271353
chr18	224184	0.27138
chr18	225051	0.271404
chr18	225608	0.271419
chr18	225964	0.271429
chr18	225985	0.27143
chr18	226485	0.271452
chr18	229710	0.272135
chr18	229853	0.272165
chr18	229887	0.272169
chr18	229888	0.272169
chr18	230739	0.272226
chr18	232337	0.272331
chr18	234473	0.272434
chr18	235928	0.272504
chr18	237663	0.272587
chr18	237838	0.272595
chr18	239289	0.272665
chr18	241347	0.272764
chr18	242494	0.272819
chr18	244125	0.272898
chr18	247834	0.273076
chr18	248254	0.273096
chr18	248279	0.273097
chr18	249939	0.273177
chr18	250047	0.273182
chr18	250058	0.273183
chr18	250539	0.273206
chr18	250589	0.273209
chr18	252038	0.27328
chr18	252559	0.273308
chr18	252795	0.273321
chr18	255552	0.273472
chr18	258284	0.273603
chr18	260403	0.273705
chr18	260504	0.27371
chr18	261903	0.273776
chr18	263718	0.273864
chr18	264012	0.273879
chr18	264431	0.273899
chr18	264954	0.273925
chr18	266848	0.274018
chr18	267262	0.274072
chr18	268917	0.275073
chr18	268992	0.275097
chr18	269728	0.275277
chr18	269736	0.275279
chr18	269980	0.275338
chr18	271335	0.275665
chr18	272535	0.275956
chr18	273216	0.276326
chr18	274753	0.27743
chr18	276848	0.278969
chr18	277076	0.279086
chr18	277265	0.279166
chr18	277763	0.279348
chr18	278796	0.279654
chr18	279300	0.279802
chr18	280039	0.280017
chr18	280235	0.280074
chr18	280443	0.280134
chr18	280798	0.280238
chr18	281423	0.280423
chr18	282249	0.280677
chr18	282978	0.281575
chr18	283309	0.281857
chr18	284947	0.282651
chr18	285953	0.283137
chr18	286176	0.283248
chr18	286372	0.283356
chr18	286475	0.283456
chr18	286679	0.283788
chr18	286971	0.284277
chr18	287080	0.284461
chr18	287252	0.284751
chr18	287648	0.285417
chr18	287705	0.285513
chr18	288689	0.287167
chr18	289153	0.287944
chr18	289209	0.288036
chr18	289210	0.288038
chr18	293384	0.29488
chr18	293519	0.295533
chr18	294021	0.298282
chr18	294495	0.301303
chr18	294745	0.302882
chr18	295046	0.304773
chr18	295191	0.305684
chr18	295246	0.306025
chr18	296341	0.312628
chr18	297712	0.313946
chr18	297805	0.314024
chr18	298553	0.314467
chr18	298620	0.3145
chr18	298672	0.314521
chr18	302224	0.31588
chr18	303389	0.316319
chr18	303811	0.316477
chr18	304139	0.3166
chr18	304180	0.316616
chr18	304557	0.316757
chr18	306450	0.317468
chr18	307022	0.317688
chr18	307648	0.317944
chr18	307769	0.317999
chr18	312577	0.320199
chr18	312644	0.32036
chr18	315138	0.326945
chr18	316558	0.330696
chr18	317376	0.339991
chr18	319176	0.360484
chr18	319446	0.362241
chr18	322183	0.373195
chr18	322522	0.374576
chr18	327641	0.397137
chr18	327829	0.397966
chr18	330655	0.411309
chr18	331506	0.416329
chr18	331827	0.419131
chr18	332469	0.425016
chr18	332483	0.425145
chr18	332528	0.425561
chr18	332961	0.429602
chr18	333739	0.436863
chr18	333758	0.437041
chr18	334742	0.446258
chr18	334758	0.446409
chr18	334994	0.448636
chr18	335099	0.449629
chr18	335266	0.451192
chr18	335316	0.451644
chr18	335363	0.452048
chr18	337468	0.469281
chr18	337502	0.469559
chr18	337543	0.469895
chr18	337601	0.470284
chr18	338113	0.472987
chr18	338132	0.473056
chr18	338155	0.473109
chr18	338297	0.473386
chr18	339337	0.474893
chr18	339386	0.47502
chr18	339519	0.475529
chr18	339594	0.475986
chr18	339727	0.476953
chr18	339756	0.477139
chr18	339994	0.478117
chr18	340373	0.478886
chr18	340507	0.479077
chr18	340963	0.479552
chr18	340992	0.479581
chr18	341085	0.479673
chr18	341466	0.480045
chr18	342424	0.480973
chr18	342971	0.482138
chr18	343238	0.48271
chr18	343982	0.484292
chr18	344007	0.484336
chr18	344459	0.485014
chr18	345142	0.485239
chr18	346821	0.485786
chr18	347808	0.48642
chr18	348265	0.486714
chr18	348598	0.48705
chr18	348694	0.487317
chr18	348699	0.487331
chr18	348764	0.487513
chr18	349426	0.48936
chr18	349989	0.536578
chr18	351004	0.621703
chr18	351114	0.630928
chr18	351460	0.63151
chr18	352074	0.632461
chr18	352577	0.633233
chr18	353288	0.634308
chr18	354165	0.635632
chr18	354264	0.635782
chr18	354439	0.636047
chr18	354542	0.636199
chr18	355410	0.637427
chr18	355568	0.637759
chr18	355944	0.638802
chr18	356095	0.639235
chr18	356337	0.639935
chr18	356374	0.640042
chr18	357247	0.642565
chr18	357570	0.643496
chr18	358187	0.645272
chr18	358226	0.645389
chr18	359079	0.648062
chr18	359141	0.648262
chr18	359196	0.648441
chr18	359884	0.650717
chr18	360161	0.651645
chr18	360971	0.654349
chr18	361437	0.655933
chr18	361710	0.656981
chr18	362116	0.658519
chr18	362173	0.658776
chr18	362199	0.658897
chr18	362623	0.660954
chr18	362857	0.662065
chr18	363254	0.6639
chr18	364326	0.668803
chr18	364942	0.671934
chr18	365758	0.678631
chr18	365815	0.679135
chr18	365930	0.68058
chr18	366043	0.682027
chr18	367725	0.703595
chr18	368115	0.708597
chr18	369148	0.721846
chr18	369955	0.732187
chr18	370338	0.737089
chr18	370543	0.739712
chr18	371281	0.748786
chr18	371902	0.754357
chr18	371976	0.755037
chr18	372041	0.755684
chr18	372837	0.765158
chr18	373503	0.773121
chr18	373670	0.775114
chr18	374047	0.779589
chr18	374109	0.780198
chr18	374117	0.780228
chr18	375021	0.782465
chr18	375289	0.783098
chr18	375841	0.784353
chr18	376191	0.785161
chr18	376543	0.785993
chr18	376602	0.786135
chr18	376626	0.786193
chr18	377075	0.787292
chr18	377384	0.788048
chr18	377746	0.788824
chr18	377818	0.788946
chr18	379644	0.791025
chr18	379749	0.791143
chr18	379855	0.791262
chr18	380325	0.791787
chr18	380831	0.792333
chr18	380945	0.792449
chr18	381704	0.793185
chr18	381832	0.79331
chr18	381997	0.793504
chr18	382088	0.793614
chr18	382268	0.793795
chr18	382565	0.794046
chr18	383336	0.794584
chr18	384797	0.79542
chr18	385140	0.795617
chr18	385735	0.795967
chr18	385908	0.796074
chr18	386203	0.796267
chr18	387004	0.796824
chr18	387120	0.796907
chr18	387431	0.797129
chr18	387700	0.797322
chr18	387970	0.797516
chr18	388110	0.797617
chr18	389081	0.798316
chr18	390334	0.79922
chr18	390905	0.799634
chr18	391376	0.799977
chr18	392544	0.800832
chr18	392795	0.801018
chr18	393649	0.80169
chr18	393753	0.801788
chr18	394141	0.802308
chr18	394366	0.802812
chr18	394762	0.808947
chr18	394946	0.811799
chr18	395016	0.812885
chr18	395394	0.818749
chr18	395650	0.822719
chr18	395661	0.82289
chr18	395885	0.82636
chr18	396461	0.834766
chr18	397177	0.844448
chr18	398147	0.845402
chr18	398803	0.846077
chr18	398917	0.846211
chr18	398985	0.846301
chr18	399163	0.846529
chr18	399245	0.846601
chr18	399345	0.846694
chr18	400706	0.847885
chr18	400739	0.84791
chr18	400749	0.847916
chr18	400766	0.847926
chr18	401069	0.848065
chr18	401573	0.84823
chr18	401660	0.848256
chr18	401869	0.848313
chr18	401933	0.84833
chr18	403777	0.848798
chr18	403892	0.848827
chr18	403968	0.848846
chr18	404000	0.848854
chr18	407041	0.849621
chr18	407132	0.849648
chr18	407958	0.84993
chr18	410368	0.850867
