chr	pos	cM
chr19	253938	0
chr19	256859	4.50E-04
chr19	259772	9.00E-04
chr19	260970	0.001086
chr19	261033	0.001095
chr19	266034	0.00187
chr19	266544	0.002047
chr19	266888	0.00248
chr19	267039	0.002681
chr19	267213	0.00295
chr19	267614	0.00382
chr19	269380	0.005779
chr19	276245	0.010664
chr19	277717	0.013301
chr19	277776	0.01342
chr19	279645	0.019277
chr19	280299	0.021981
chr19	281360	0.026475
chr19	287129	0.062038
chr19	288246	0.068867
chr19	288320	0.069321
chr19	292082	0.092406
chr19	292583	0.096824
chr19	292901	0.099705
chr19	292940	0.100058
chr19	293346	0.103742
chr19	293671	0.106884
chr19	293828	0.108402
chr19	293913	0.109225
chr19	293934	0.109429
chr19	294212	0.112132
chr19	294457	0.11461
chr19	294526	0.115393
chr19	295131	0.122209
chr19	295295	0.124057
chr19	296458	0.135619
chr19	301619	0.170678
chr19	301639	0.17075
chr19	301668	0.170798
chr19	304499	0.171914
chr19	304526	0.171925
chr19	311037	0.174497
chr19	311825	0.17484
chr19	316040	0.176822
chr19	319822	0.17849
chr19	327182	0.180597
chr19	327323	0.180636
chr19	327683	0.18073
chr19	327821	0.180766
chr19	327998	0.180811
chr19	328855	0.181028
chr19	330263	0.181383
chr19	331028	0.181576
chr19	334474	0.182457
chr19	334673	0.182515
chr19	335055	0.182627
chr19	335946	0.183017
chr19	340700	0.184719
chr19	344053	0.186784
chr19	348743	0.189672
chr19	349160	0.189929
chr19	352341	0.191881
chr19	354248	0.193049
chr19	358990	0.196752
chr19	362283	0.204955
chr19	363127	0.207293
chr19	364695	0.215682
chr19	366451	0.233413
chr19	366680	0.235755
chr19	367089	0.240008
chr19	367178	0.241037
chr19	367313	0.242598
chr19	372661	0.334557
chr19	372775	0.336518
chr19	373897	0.35582
chr19	376382	0.398577
chr19	376585	0.400077
chr19	379003	0.411494
chr19	383057	0.43081
chr19	384644	0.444416
chr19	384724	0.445103
chr19	384812	0.445858
chr19	387791	0.471422
chr19	388413	0.47676
chr19	389397	0.485205
chr19	389805	0.488706
chr19	389873	0.489288
chr19	390206	0.492136
chr19	390341	0.493291
chr19	390627	0.495618
chr19	391296	0.498914
chr19	391569	0.499853
chr19	391794	0.500538
chr19	393044	0.503332
chr19	396948	0.511837
chr19	397111	0.512395
chr19	397531	0.513862
chr19	397896	0.517546
chr19	401714	0.566562
chr19	402491	0.57753
chr19	405929	0.628039
chr19	406370	0.634502
chr19	409977	0.667054
chr19	411849	0.681172
chr19	412730	0.684122
chr19	415294	0.692421
chr19	416231	0.695443
chr19	416449	0.696151
chr19	416834	0.697236
chr19	416963	0.697731
chr19	417014	0.69794
chr19	417262	0.698957
chr19	417396	0.699556
chr19	417556	0.700615
chr19	417714	0.70195
chr19	417737	0.70216
chr19	418178	0.706494
chr19	418436	0.709045
chr19	418507	0.709747
chr19	418556	0.710231
chr19	418624	0.710903
chr19	418769	0.712335
chr19	418786	0.712503
chr19	419075	0.715352
chr19	419204	0.716622
chr19	419407	0.718622
chr19	419471	0.71925
chr19	419498	0.719515
chr19	419531	0.719837
chr19	420755	0.731787
chr19	422238	0.743657
chr19	425559	0.750176
chr19	428608	0.753824
chr19	431029	0.756205
chr19	431187	0.75643
chr19	436690	0.766602
chr19	438357	0.769844
chr19	438584	0.770324
chr19	438916	0.771052
chr19	439393	0.772102
chr19	440478	0.77449
chr19	441195	0.77606
chr19	441243	0.776164
chr19	446887	0.788333
chr19	448041	0.790818
chr19	450282	0.795639
chr19	450515	0.79614
chr19	453750	0.80309
chr19	454430	0.804547
chr19	454955	0.805674
chr19	455285	0.806379
chr19	464612	0.826085
chr19	472149	0.841965
chr19	478964	0.859607
chr19	482160	0.868507
chr19	482221	0.868678
chr19	482984	0.870837
chr19	484650	0.885068
chr19	485177	0.889583
chr19	491433	0.943174
chr19	494057	0.950593
chr19	495722	0.955198
chr19	499978	0.966969
chr19	501900	0.972314
chr19	507450	0.987921
chr19	507731	0.988708
chr19	508626	0.991216
chr19	509158	0.9927
