#reference_panel_population:	Africa	Europe	Middle_East
chromosome	physical_position	genetic_position	genetic_marker_index	Mozabite_4:::hap1:::Africa	Mozabite_4:::hap1:::Europe	Mozabite_4:::hap1:::Middle_East	Mozabite_4:::hap2:::Africa	Mozabite_4:::hap2:::Europe	Mozabite_4:::hap2:::Middle_East
11	186059	0.00000	0	0.00014	0.00142	0.99844	0.00020	0.00009	0.99971
11	288003	0.21865	5	0.00005	0.00121	0.99874	0.00017	0.00006	0.99978
11	377519	0.80220	10	0.00000	0.00039	0.99961	0.00006	0.00000	0.99994
11	517706	0.89156	15	0.00000	0.00038	0.99962	0.00006	0.00000	0.99994
11	658511	0.97843	20	0.00000	0.00036	0.99964	0.00006	0.00000	0.99994
11	838419	1.13853	25	0.00000	0.00034	0.99966	0.00005	0.00000	0.99995
11	1073378	1.37481	30	0.00000	0.00028	0.99972	0.00005	0.00000	0.99995
11	1214868	1.78081	35	0.00000	0.00008	0.99992	0.00006	0.00000	0.99994
11	1295327	1.94674	40	0.00000	0.00004	0.99996	0.00006	0.00000	0.99993
11	1424407	2.02389	45	0.00000	0.00004	0.99996	0.00007	0.00000	0.99993
11	1659357	2.19593	50	0.00008	0.00002	0.99990	0.00006	0.00000	0.99993
11	1761531	2.44497	55	0.00049	0.00001	0.99950	0.00006	0.00000	0.99994
11	1865838	2.86743	60	0.00118	0.00000	0.99882	0.00003	0.00000	0.99996
11	2107455	3.67065	65	0.00206	0.00000	0.99794	0.00000	0.00000	1.00000
11	2265960	3.94845	70	0.00208	0.00000	0.99792	0.00000	0.00000	1.00000
11	2361791	4.17203	75	0.00207	0.00000	0.99793	0.00000	0.00000	1.00000
11	2419220	4.42589	80	0.00203	0.00000	0.99797	0.00000	0.00000	1.00000
11	2532323	4.78793	85	0.00193	0.00000	0.99807	0.00000	0.00000	1.00000
11	2662708	5.17264	90	0.00177	0.00000	0.99823	0.00000	0.00000	1.00000
11	2798430	5.59695	95	0.00132	0.00000	0.99867	0.00000	0.00000	1.00000
11	2989273	6.09859	100	0.00029	0.00001	0.99970	0.00000	0.00000	1.00000
11	3085374	6.12978	105	0.00028	0.00001	0.99971	0.00000	0.00000	1.00000
11	3143788	6.40607	110	0.00006	0.00002	0.99992	0.00000	0.00000	1.00000
11	3202130	6.63892	115	0.00002	0.00003	0.99995	0.00000	0.00000	1.00000
11	3379104	7.36552	120	0.00000	0.00007	0.99993	0.00000	0.00000	1.00000
11	3428349	7.55513	125	0.00000	0.00008	0.99992	0.00000	0.00000	1.00000
11	3448638	7.58050	130	0.00000	0.00008	0.99992	0.00000	0.00000	1.00000
11	3560266	7.82896	135	0.00000	0.00010	0.99990	0.00000	0.00000	1.00000
11	3612559	7.89210	140	0.00000	0.00010	0.99990	0.00000	0.00000	1.00000
11	3652150	8.30536	145	0.00000	0.00016	0.99984	0.00000	0.00001	0.99999
11	3775882	8.42692	150	0.00000	0.00016	0.99984	0.00000	0.00001	0.99999
11	3869730	8.68430	155	0.00000	0.00017	0.99983	0.00000	0.00001	0.99999
11	3992257	8.73350	160	0.00000	0.00017	0.99983	0.00000	0.00001	0.99999
11	4148234	8.76856	165	0.00002	0.00017	0.99981	0.00000	0.00001	0.99999
11	4224852	8.82221	170	0.00057	0.00017	0.99926	0.00000	0.00001	0.99999
11	4251874	8.85461	175	0.00316	0.00017	0.99667	0.00000	0.00001	0.99999
