#reference_panel_population:	Africa	Europe	Middle_East
chromosome	physical_position	genetic_position	genetic_marker_index	Mozabite_12:::hap1:::Africa	Mozabite_12:::hap1:::Europe	Mozabite_12:::hap1:::Middle_East	Mozabite_12:::hap2:::Africa	Mozabite_12:::hap2:::Europe	Mozabite_12:::hap2:::Middle_East
2	153224	0.05977	0	0.99999	0.00000	0.00001	0.99963	0.00002	0.00035
2	228268	0.09615	5	0.99999	0.00000	0.00001	0.99963	0.00002	0.00035
2	374086	0.40704	10	1.00000	0.00000	0.00000	0.99989	0.00000	0.00010
2	470602	0.63342	15	1.00000	0.00000	0.00000	0.99998	0.00000	0.00002
2	592407	0.74102	20	1.00000	0.00000	0.00000	0.99999	0.00000	0.00001
2	672745	0.93248	25	0.99999	0.00000	0.00001	1.00000	0.00000	0.00000
2	852341	1.09244	30	0.99997	0.00000	0.00003	1.00000	0.00000	0.00000
2	959702	1.16133	35	0.99994	0.00000	0.00006	1.00000	0.00000	0.00000
2	1028557	1.19518	40	0.99992	0.00000	0.00008	1.00000	0.00000	0.00000
2	1116342	1.26035	45	0.99929	0.00000	0.00071	1.00000	0.00000	0.00000
2	1145355	1.29135	50	0.99889	0.00000	0.00111	1.00000	0.00000	0.00000
2	1207593	1.36852	55	0.99182	0.00000	0.00818	1.00000	0.00000	0.00000
2	1309916	1.40858	60	0.98713	0.00001	0.01286	1.00000	0.00000	0.00000
2	1422691	1.59253	65	0.98188	0.00003	0.01809	1.00000	0.00000	0.00000
2	1503826	1.67197	70	0.98175	0.00003	0.01821	1.00000	0.00000	0.00000
2	1592257	1.74542	75	0.98175	0.00003	0.01823	1.00000	0.00000	0.00000
2	1664779	1.96991	80	0.98194	0.00003	0.01802	1.00000	0.00000	0.00000
2	1793786	2.43971	85	0.99878	0.00000	0.00122	1.00000	0.00000	0.00000
2	1867691	2.52942	90	0.99917	0.00000	0.00083	1.00000	0.00000	0.00000
2	2198553	2.63652	95	0.99931	0.00000	0.00069	1.00000	0.00000	0.00000
