chr	pos	cM
chr13	18447081	0
chr13	18447511	2.59E-03
chr13	18448253	0.007061
chr13	18456515	0.02652
chr13	18457168	0.027534
chr13	18460072	0.032044
chr13	18471486	0.036897
chr13	18472565	0.037492
chr13	18478954	0.041069
chr13	18484577	0.044366
chr13	18488179	0.046587
chr13	18499186	0.053671
chr13	18500097	0.054257
chr13	18579831	0.107814
chr13	18585853	0.1121
chr13	18589694	0.116449
chr13	18589797	0.116588
chr13	18590104	0.117063
chr13	18605040	0.140759
chr13	18625114	0.172605
chr13	18625172	0.172697
chr13	18625252	0.172824
chr13	18630703	0.181446
chr13	18636286	0.190282
chr13	18638122	0.193189
chr13	18639738	0.195744
chr13	18640113	0.196324
chr13	18641297	0.198155
chr13	18641534	0.198518
chr13	18641977	0.199192
chr13	18643591	0.200533
chr13	18645487	0.201941
chr13	18647069	0.202282
chr13	18648681	0.202626
chr13	18649053	0.202704
chr13	18653802	0.20371
chr13	18656899	0.204366
chr13	18659862	0.205016
chr13	18660607	0.20553
chr13	18661276	0.206053
chr13	18662806	0.207319
chr13	18666635	0.21049
chr13	18670677	0.213832
chr13	18679259	0.220929
chr13	18680551	0.222
chr13	18680722	0.222145
chr13	18680776	0.222193
chr13	18681082	0.222472
chr13	18681715	0.22305
chr13	18682051	0.223391
chr13	18683428	0.224909
chr13	18685799	0.228795
chr13	18686425	0.229826
chr13	18686680	0.230248
chr13	18689595	0.235103
chr13	18690687	0.239495
chr13	18691666	0.243205
chr13	18693149	0.248808
chr13	18696632	0.262138
chr13	18697536	0.26566
chr13	18698232	0.26821
chr13	18699111	0.270051
chr13	18701594	0.274178
chr13	18701860	0.274218
chr13	18702207	0.274265
chr13	18702330	0.274281
chr13	18702720	0.274325
chr13	18703908	0.274458
chr13	18704670	0.274543
chr13	18706400	0.274735
chr13	18708029	0.274917
chr13	18708860	0.27501
chr13	18712716	0.27544
chr13	18713639	0.275543
chr13	18718301	0.276068
chr13	18718618	0.276107
chr13	18719165	0.27618
chr13	18720636	0.276399
chr13	18727026	0.277511
chr13	18727384	0.277587
chr13	18728829	0.277951
chr13	18729011	0.278003
chr13	18729342	0.278106
chr13	18729540	0.278172
chr13	18730494	0.278506
chr13	18732046	0.279052
chr13	18732384	0.279174
chr13	18733176	0.279464
chr13	18734035	0.279782
chr13	18734174	0.279835
chr13	18735434	0.28033
chr13	18735880	0.280505
chr13	18736066	0.280579
chr13	18737101	0.280996
chr13	18737640	0.281221
chr13	18738177	0.281472
chr13	18738946	0.282036
chr13	18740379	0.283086
chr13	18740439	0.283126
chr13	18741059	0.283545
chr13	18742445	0.284371
chr13	18743245	0.28477
chr13	18745495	0.285736
chr13	18745660	0.285805
chr13	18747744	0.286646
chr13	18754531	0.289352
chr13	18760596	0.29171
chr13	18762575	0.292479
chr13	18766200	0.293886
chr13	18766298	0.293924
chr13	18770930	0.295728
chr13	18770943	0.295737
chr13	18772614	0.297186
chr13	18774216	0.298828
chr13	18774665	0.299294
chr13	18775000	0.299647
chr13	18780535	0.305953
chr13	18781633	0.30724
chr13	18782725	0.308522
chr13	18784641	0.311386
chr13	18786620	0.316636
chr13	18798130	0.351687
chr13	18801181	0.363294
chr13	18805043	0.379655
chr13	18807243	0.389961
chr13	18809170	0.398908
chr13	18809294	0.400462
chr13	18810493	0.41496
chr13	18810768	0.418314
chr13	18810831	0.418492
chr13	18811748	0.420956
chr13	18817946	0.437611
chr13	18818019	0.437685
chr13	18820897	0.438843
chr13	18824643	0.440352
chr13	18827199	0.441381
chr13	18828239	0.441804
chr13	18839157	0.446247
chr13	18839182	0.446259
chr13	18839675	0.446543
chr13	18839912	0.44668
chr13	18840309	0.446901
chr13	18840551	0.447036
chr13	18842946	0.448082
chr13	18843962	0.448385
chr13	18846934	0.449127
chr13	18848939	0.449626
chr13	18852422	0.45049
chr13	18853571	0.451322
chr13	18854044	0.451665
chr13	18858677	0.454554
chr13	18861730	0.456457
chr13	18864280	0.458048
chr13	18864667	0.458315
chr13	18865395	0.458828
chr13	18865983	0.459249
chr13	18866879	0.459898
chr13	18867241	0.46016
chr13	18870034	0.462182
chr13	18873326	0.527982
chr13	18876666	0.546112
chr13	18876765	0.546159
chr13	18876817	0.546164
chr13	18877303	0.546169
chr13	18877654	0.546172
chr13	18877750	0.546173
chr13	18877794	0.546174
chr13	18878123	0.546176
chr13	18878518	0.54618
chr13	18879318	0.546187
chr13	18880912	0.546201
chr13	18881817	0.546209
chr13	18882837	0.546218
chr13	18883250	0.546222
chr13	18883928	0.546232
chr13	18883979	0.546235
chr13	18884231	0.546245
chr13	18886476	0.546415
chr13	18888898	0.546606
chr13	18889197	0.54663
chr13	18889902	0.546686
chr13	18890023	0.546696
chr13	18891772	0.546834
chr13	18891854	0.546841
chr13	18893554	0.546977
chr13	18894756	0.547073
chr13	18895365	0.547123
chr13	18896179	0.547193
chr13	18897107	0.547275
chr13	18898166	0.547371
chr13	18899503	0.547493
chr13	18900481	0.547582
chr13	18900491	0.547583
chr13	18900599	0.547603
chr13	18906417	0.549033
chr13	18906743	0.549089
chr13	18907137	0.54914
chr13	18907153	0.549142
chr13	18908085	0.549237
chr13	18908190	0.549701
chr13	18908389	0.549706
chr13	18908584	0.549711
chr13	18908707	0.549713
chr13	18908832	0.549716
chr13	18909109	0.549722
chr13	18909912	0.54974
chr13	18909943	0.54974
chr13	18910577	0.549753
chr13	18910708	0.549756
chr13	18910717	0.549756
chr13	18913488	0.549811
chr13	18916133	0.549864
chr13	18917160	0.549992
chr13	18918618	0.55036
chr13	18919316	0.550375
chr13	18920846	0.550408
chr13	18921867	0.550429
chr13	18922294	0.550438
chr13	18922364	0.55044
chr13	18922531	0.550444
chr13	18922788	0.550451
chr13	18923554	0.550475
chr13	18926679	0.550651
chr13	18928955	0.550779
chr13	18935291	0.550927
chr13	18938708	0.551062
chr13	18939374	0.551266
