chr	pos	cM
chr15	19809728	0
chr15	19844578	2.78E-03
chr15	19850381	0.003329
chr15	19866420	0.004835
chr15	19866512	0.004844
chr15	19872912	0.005445
chr15	19879854	0.006098
chr15	19880385	0.006148
chr15	19885603	0.006638
chr15	19893724	0.007401
chr15	19895189	0.007538
chr15	19895212	0.00754
chr15	19896055	0.007619
chr15	19906196	0.008568
chr15	19914453	0.009341
chr15	19938398	0.01158
chr15	19939549	0.011689
chr15	19956119	0.013335
chr15	19956288	0.013394
chr15	19956611	0.013553
chr15	19956943	0.013779
chr15	19958145	0.014602
chr15	19959357	0.015454
chr15	19959635	0.015614
chr15	19961836	0.016377
chr15	19962368	0.016468
chr15	19967342	0.017261
chr15	19967455	0.017279
chr15	19968443	0.017437
chr15	19971047	0.017854
chr15	19971583	0.017964
chr15	19971839	0.018024
chr15	19973035	0.018337
chr15	19975692	0.01902
chr15	19981155	0.020404
chr15	19982805	0.020824
chr15	19986488	0.021774
chr15	19986758	0.022494
chr15	19986833	0.022726
chr15	19987698	0.025712
chr15	19988669	0.029411
chr15	19989705	0.032544
chr15	20007545	0.074268
chr15	20210624	0.671341
chr15	20217334	0.692037
chr15	20218490	0.695867
chr15	20221954	0.707478
chr15	20222718	0.710076
chr15	20228480	0.729684
chr15	20235225	0.753059
chr15	20240759	0.79714
chr15	20246097	0.839955
chr15	20252975	0.895329
chr15	20255796	0.91721
chr15	20257350	0.929294
chr15	20258581	0.938869
chr15	20280036	1.105862
chr15	20280526	1.10968
chr15	20280626	1.110459
chr15	20283488	1.132776
chr15	20283617	1.133781
chr15	20288172	1.169265
chr15	20289036	1.175956
chr15	20293033	1.206827
chr15	20306974	1.314418
chr15	20317387	1.394799
chr15	20317687	1.397114
chr15	20322579	1.434883
chr15	20338735	1.559632
chr15	20338985	1.561687
chr15	20339627	1.567385
chr15	20344377	1.61527
chr15	20344556	1.617089
chr15	20345803	1.62986
chr15	20346938	1.641625
chr15	20350467	1.678076
chr15	20358643	1.750207
chr15	20359322	1.755865
chr15	20360393	1.762245
chr15	20360608	1.763527
chr15	20364475	1.783564
chr15	20365369	1.788158
chr15	20365960	1.791202
chr15	20367689	1.800137
chr15	20367791	1.800641
chr15	20369730	1.807585
chr15	20369739	1.807617
chr15	20372241	1.816188
chr15	20373179	1.819401
chr15	20375391	1.827012
chr15	20376987	1.832528
chr15	20377603	1.834677
chr15	20377647	1.834837
chr15	20378782	1.839104
chr15	20379245	1.840881
chr15	20379902	1.843485
chr15	20379951	1.843687
chr15	20380145	1.844528
chr15	20380209	1.844813
chr15	20380902	1.847916
chr15	20381038	1.848527
chr15	20381612	1.851108
chr15	20381674	1.851387
chr15	20381994	1.852826
chr15	20382061	1.853126
chr15	20382346	1.854406
chr15	20382975	1.85722
chr15	20382977	1.857229
chr15	20383452	1.859346
chr15	20384883	1.865687
chr15	20385246	1.86728
chr15	20386417	1.872387
chr15	20386500	1.872733
chr15	20386514	1.872786
chr15	20386608	1.873132
chr15	20386626	1.873188
