#Subpopulation order/codes: Africa=0	Europe=1	Middle_East=2
#chm	spos	epos	sgpos	egpos	n snps	Mozabite1.0	Mozabite1.1
4	192611	3478699	0.36	3.17	102	2	2
4	3478699	3988050	3.17	7.32	40	2	0
4	3988050	4864861	7.32	9.19	55	2	2
4	4864861	5091895	9.19	9.97	10	2	0
4	5091895	5382926	9.97	10.78	20	1	0
4	5382926	6118402	10.78	13.44	35	1	2
4	6118402	7703627	13.44	20.44	70	2	1
4	7703627	8538544	20.44	22.71	40	1	1
4	8538544	9142685	22.71	24.76	40	2	1
4	9142685	10107499	24.76	25.78	50	1	2
4	10107499	10236175	25.78	25.83	10	0	2
4	10236175	11308021	25.83	27.06	45	0	1
4	11308021	11378548	27.06	27.08	5	1	1
4	11378548	15314079	27.08	32.20	155	1	2
4	15314079	17106891	32.20	34.82	55	2	2
4	17106891	18789171	34.82	36.55	60	2	0
4	18789171	20594293	36.55	38.04	60	2	2
4	20594293	22714034	38.04	40.27	110	2	0
4	22714034	23725460	40.27	41.11	25	2	2
4	23725460	25085293	41.11	44.21	50	1	2
4	25085293	25726024	44.21	45.52	35	0	0
4	25726024	27361445	45.52	48.69	40	2	0
4	27361445	27414300	48.69	48.78	5	0	0
4	27414300	31384657	48.78	52.91	150	0	2
4	31384657	32664011	52.91	54.38	70	0	1
4	32664011	33001928	54.38	54.56	15	0	2
4	33001928	34763973	54.56	56.08	60	2	2
4	34763973	35136197	56.08	56.26	20	2	1
4	35136197	38380242	56.26	60.66	165	1	1
4	38380242	38918917	60.66	61.40	35	1	2
4	38918917	40440899	61.40	63.33	55	0	2
4	40440899	42514503	63.33	67.07	65	2	2
4	42514503	44142604	67.07	68.03	85	0	0
4	44142604	47080565	68.03	68.96	90	2	2
4	47080565	52202872	68.96	69.83	85	2	1
4	52202872	52561979	69.83	69.92	10	0	1
4	52561979	53535586	69.92	70.33	25	0	2
4	53535586	54275365	70.33	71.24	30	1	2
4	54275365	55965280	71.24	73.85	60	2	2
4	55965280	56604045	73.85	75.36	25	2	0
4	56604045	57134132	75.36	76.21	25	2	1
4	57134132	58108731	76.21	77.52	40	1	1
4	58108731	60706446	77.52	79.01	120	2	1
4	60706446	62636231	79.01	80.89	70	2	2
4	62636231	64704420	80.89	82.25	85	1	2
4	64704420	65302350	82.25	82.47	30	1	1
4	65302350	65808497	82.47	82.98	25	2	1
4	65808497	67254734	82.98	84.07	55	0	1
4	67254734	67578539	84.07	84.21	15	0	2
4	67578539	71574629	84.21	87.00	190	2	2
4	71574629	72816815	87.00	87.84	60	2	1
4	72816815	75336351	87.84	89.80	100	2	2
4	75336351	75811828	89.80	90.09	20	2	1
4	75811828	76814556	90.09	91.19	45	0	1
4	76814556	80068308	91.19	94.30	115	2	2
4	80068308	82007600	94.30	96.47	75	0	0
4	82007600	83367494	96.47	98.97	45	2	1
4	83367494	84136192	98.97	99.90	30	1	2
4	84136192	84501216	99.90	100.30	15	0	2
