#reference_panel_population:	Africa	Europe	Middle_East
chromosome	physical_position	genetic_position	genetic_marker_index	Mozabite1:::hap1:::Africa	Mozabite1:::hap1:::Europe	Mozabite1:::hap1:::Middle_East	Mozabite1:::hap2:::Africa	Mozabite1:::hap2:::Europe	Mozabite1:::hap2:::Middle_East
9	46587	0.02997	0	0.00825	0.63182	0.36004	0.00006	0.96628	0.03365
9	142144	0.15142	5	0.00054	0.47487	0.52464	0.00000	0.99079	0.00921
9	257349	0.20362	10	0.00040	0.12625	0.87332	0.00000	0.99534	0.00466
9	327957	0.32458	15	0.00044	0.01416	0.98540	0.00000	0.99816	0.00184
9	373883	0.40847	20	0.00064	0.00353	0.99583	0.00000	0.99845	0.00155
9	446920	0.66162	25	0.00082	0.00280	0.99638	0.00000	0.99860	0.00140
9	527407	0.89802	30	0.00046	0.00106	0.99848	0.00000	0.99940	0.00060
9	614485	0.96475	35	0.00021	0.00036	0.99942	0.00000	0.99940	0.00060
9	660608	1.00466	40	0.00175	0.00018	0.99807	0.00000	0.99923	0.00077
9	695607	1.03902	45	0.00370	0.00051	0.99579	0.00008	0.99868	0.00124
9	780540	1.19290	50	0.00880	0.00112	0.99008	0.00004	0.99756	0.00240
9	855644	1.39728	55	0.01254	0.00464	0.98281	0.00007	0.99746	0.00247
9	972163	1.71225	60	0.01281	0.00816	0.97904	0.00195	0.99280	0.00525
9	1038063	1.93493	65	0.01293	0.01600	0.97107	0.00285	0.98798	0.00917
9	1123445	2.59752	70	0.00795	0.01455	0.97750	0.00060	0.99218	0.00723
9	1161470	2.61308	75	0.00282	0.01376	0.98344	0.00022	0.99397	0.00581
9	1252572	2.94314	80	0.00331	0.02029	0.97640	0.00039	0.99375	0.00586
9	1305268	3.08339	85	0.01010	0.03281	0.95708	0.00074	0.99294	0.00632
9	1424700	3.58157	90	0.01132	0.06935	0.91935	0.00307	0.99198	0.00494
9	1482973	3.87498	95	0.08985	0.09860	0.81153	0.00026	0.99773	0.00201
9	1521204	3.98096	100	0.70821	0.02131	0.27048	0.00003	0.99694	0.00303
9	1619944	4.06087	105	0.92058	0.00343	0.07600	0.00006	0.98487	0.01506
9	1699407	4.12411	110	0.97707	0.00170	0.02123	0.00867	0.87126	0.12003
9	1790842	4.20729	115	0.99005	0.00339	0.00655	0.07310	0.54674	0.38007
9	1872786	4.43295	120	0.98818	0.00370	0.00812	0.11057	0.22355	0.66606
9	1931378	5.30743	125	0.99604	0.00151	0.00246	0.06967	0.06137	0.86894
9	2028237	5.70936	130	0.99901	0.00018	0.00081	0.04221	0.01938	0.93841
9	2133933	6.10218	135	0.99883	0.00023	0.00094	0.04232	0.00827	0.94944
9	2225122	6.87558	140	0.99800	0.00028	0.00172	0.02480	0.00669	0.96853
9	2277462	7.00825	145	0.99953	0.00000	0.00047	0.02108	0.00308	0.97583
9	2321364	7.21370	150	0.99981	0.00000	0.00019	0.01282	0.00600	0.98118
9	2405519	7.29508	155	0.99973	0.00005	0.00022	0.01993	0.01351	0.96657
9	2477328	7.51550	160	0.99981	0.00000	0.00019	0.01629	0.02151	0.96218
9	2527792	7.57678	165	0.99976	0.00008	0.00016	0.00051	0.01783	0.98165
9	2595441	7.64307	170	0.99947	0.00026	0.00027	0.00096	0.01491	0.98412
9	2647760	7.85417	175	0.99990	0.00000	0.00010	0.00313	0.01800	0.97887
9	2735910	8.10328	180	0.99678	0.00051	0.00271	0.02133	0.01658	0.96211
9	2988280	8.62965	185	0.99515	0.00008	0.00477	0.02942	0.00762	0.96295
