#reference_panel_population:	Africa	Europe	Middle_East
chromosome	physical_position	genetic_position	genetic_marker_index	Mozabite1:::hap1:::Africa	Mozabite1:::hap1:::Europe	Mozabite1:::hap1:::Middle_East	Mozabite1:::hap2:::Africa	Mozabite1:::hap2:::Europe	Mozabite1:::hap2:::Middle_East
2	46507	0.02633	0	0.00973	0.97007	0.02022	0.00055	0.05415	0.94530
2	105493	0.05184	5	0.00186	0.98949	0.00864	0.00004	0.03094	0.96903
2	209622	0.08945	10	0.00219	0.99035	0.00745	0.00021	0.02129	0.97851
2	514508	0.70789	15	0.00150	0.99529	0.00321	0.00007	0.00681	0.99312
2	613869	0.82208	20	0.00062	0.99806	0.00132	0.00000	0.00283	0.99717
2	631759	0.84251	25	0.00046	0.99811	0.00143	0.00008	0.00405	0.99587
2	755053	1.00086	30	0.00235	0.99528	0.00237	0.00021	0.00945	0.99034
2	941702	1.15760	35	0.00985	0.98689	0.00326	0.00205	0.01553	0.98242
2	1059165	1.22786	40	0.00772	0.98978	0.00250	0.00248	0.03198	0.96554
2	1169664	1.36532	45	0.00008	0.99909	0.00083	0.00057	0.04443	0.95498
2	1214980	1.37265	50	0.00001	0.99940	0.00059	0.00013	0.04950	0.95036
2	1309448	1.40840	55	0.00002	0.99941	0.00057	0.00052	0.06829	0.93115
2	1355245	1.44333	60	0.00054	0.99707	0.00239	0.00288	0.11686	0.88028
2	1428827	1.60497	65	0.00092	0.99590	0.00318	0.00530	0.29788	0.69678
2	1495422	1.66932	70	0.00299	0.99287	0.00414	0.00846	0.42680	0.56482
2	1660882	1.96208	75	0.00216	0.99190	0.00594	0.00477	0.81597	0.17924
2	1755248	2.26116	80	0.00500	0.98959	0.00541	0.00371	0.95091	0.04539
2	1895373	2.54896	85	0.00370	0.99180	0.00449	0.00079	0.99009	0.00912
2	2220200	2.69552	90	0.00425	0.99287	0.00288	0.00071	0.99188	0.00742
2	2376313	3.28970	95	0.00437	0.99347	0.00217	0.00037	0.99362	0.00602
2	2460184	3.38279	100	0.00089	0.99712	0.00198	0.00018	0.99395	0.00587
2	2534032	3.66014	105	0.00124	0.99354	0.00522	0.00058	0.99288	0.00653
2	2618661	3.93096	110	0.00047	0.98557	0.01396	0.00008	0.99312	0.00680
2	2689186	4.23751	115	0.00147	0.94024	0.05829	0.00047	0.99202	0.00750
2	2752285	4.44170	120	0.00403	0.85232	0.14355	0.00052	0.98140	0.01809
2	3042210	7.11005	125	0.02119	0.13062	0.84809	0.00535	0.94454	0.05010
2	3115432	9.22784	130	0.00987	0.05267	0.93744	0.00374	0.97711	0.01914
2	3243302	9.60282	135	0.00100	0.04809	0.95087	0.00044	0.99269	0.00687
2	3319311	9.64385	140	0.00048	0.04193	0.95760	0.00004	0.99905	0.00090
2	3367578	9.65885	145	0.00352	0.04225	0.95422	0.00002	0.99942	0.00055
2	3490791	9.74671	150	0.12995	0.02822	0.84183	0.00017	0.99942	0.00041
2	3627565	9.77076	155	0.23109	0.02440	0.74447	0.00022	0.99918	0.00060
2	3693825	9.95497	160	0.58392	0.00949	0.40663	0.00076	0.99750	0.00175
2	3776533	10.16002	165	0.89433	0.00317	0.10248	0.00287	0.99522	0.00191
2	3832170	10.25167	170	0.95528	0.00174	0.04300	0.00848	0.98935	0.00218
2	3920266	10.50565	175	0.98333	0.00311	0.01357	0.00922	0.98669	0.00409
2	4107711	10.88702	180	0.99164	0.00331	0.00505	0.00669	0.98682	0.00649
2	4197617	11.05305	185	0.99059	0.00231	0.00711	0.00238	0.98831	0.00931
2	4431889	11.73939	190	0.99933	0.00027	0.00040	0.00145	0.97525	0.02331
2	4644580	12.03672	195	0.99969	0.00000	0.00030	0.00278	0.95186	0.04535
2	4783187	12.45142	200	0.99993	0.00005	0.00002	0.00115	0.80776	0.19118
2	4877967	12.47169	205	0.99980	0.00003	0.00016	0.00119	0.71761	0.28121
2	4951063	12.72815	210	0.99600	0.00132	0.00268	0.00239	0.01783	0.97976
2	5057853	14.20197	215	0.99873	0.00005	0.00122	0.00048	0.00011	0.99940
2	5108585	14.23456	220	0.99921	0.00006	0.00074	0.00006	0.00024	0.99970
2	5342216	14.77567	225	0.99849	0.00026	0.00126	0.00048	0.00025	0.99927
2	5470774	15.44993	230	0.99935	0.00032	0.00033	0.00030	0.00020	0.99951
2	5544654	15.54307	235	0.99987	0.00000	0.00013	0.00008	0.00000	0.99992
2	5673265	15.96778	240	0.99928	0.00014	0.00058	0.00014	0.00048	0.99938
2	5800134	16.24875	245	0.99899	0.00007	0.00094	0.00006	0.00025	0.99969
2	5936816	16.61912	250	0.99526	0.00001	0.00473	0.00000	0.00045	0.99955
2	6008560	16.71842	255	0.94335	0.00419	0.05242	0.00000	0.00046	0.99954
2	6149157	16.81271	260	0.81830	0.00954	0.17217	0.00019	0.00419	0.99562
2	6207562	16.97903	265	0.38191	0.02542	0.59267	0.00016	0.01014	0.98970
2	6272396	17.17581	270	0.10114	0.04353	0.85537	0.00076	0.02098	0.97826
2	6430801	17.35437	275	0.01441	0.02282	0.96278	0.00041	0.01851	0.98108
2	6558624	17.69148	280	0.00593	0.01308	0.98099	0.00121	0.01157	0.98723
2	6675972	17.89793	285	0.00636	0.01161	0.98203	0.00203	0.01058	0.98739
2	6797613	18.30586	290	0.00150	0.02699	0.97151	0.00122	0.02237	0.97640
2	6884743	18.70075	295	0.00096	0.02990	0.96912	0.00212	0.01554	0.98234
2	7091442	19.15096	300	0.00042	0.02959	0.96999	0.00239	0.02468	0.97293
2	7218643	19.35468	305	0.00086	0.03201	0.96713	0.00207	0.05577	0.94219
2	7380013	19.49825	310	0.00231	0.04765	0.95004	0.00243	0.09645	0.90105
2	7519544	19.92659	315	0.00152	0.08065	0.91782	0.00707	0.18788	0.80502
2	7568546	20.00265	320	0.00156	0.10990	0.88857	0.02496	0.23935	0.73564
2	7828469	20.67191	325	0.00060	0.15053	0.84885	0.00347	0.74410	0.25238
2	7974477	21.24172	330	0.00003	0.10257	0.89743	0.00097	0.94585	0.05321
2	8243110	21.88232	335	0.00105	0.05771	0.94128	0.00118	0.98690	0.01192
2	8423282	22.40970	340	0.00040	0.04058	0.95900	0.00078	0.99257	0.00665
2	8574639	23.13873	345	0.00011	0.01873	0.98117	0.00008	0.99816	0.00175
2	8610926	23.18144	350	0.00008	0.01832	0.98161	0.00015	0.99869	0.00116
